evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20020101,21235756,33.2645,243.8582,5.54,3.0
20020101,21310480,33.2648,243.8603,4.59,2.4
20020102,12112868,33.3793,243.5655,12.58,4.2
20020102,17483054,33.27,243.8608,9.02,2.5
20020102,19554678,33.987,242.9968,14.64,2.2
20020105,09350191,34.1573,243.1458,7.01,2.7
20020106,03161755,32.8007,244.4203,16.27,2.3
20020106,22483316,33.3015,243.7623,11.25,2.8
20020110,12301090,33.4632,243.5002,8.54,2.7
20020113,00275920,33.3862,243.5682,10.59,2.5
20020115,02062336,33.3472,243.6292,12.1,2.3
20020115,15431327,34.0125,242.7733,15.96,2.3
20020116,00574285,33.2195,243.9162,11.95,2.4
20020121,10064525,33.7818,243.8307,6.96,2.2
20020121,18231514,33.1813,243.9565,5.17,2.8
20020122,22102724,33.8308,242.3588,7.13,2.3
20020123,22461174,32.532,244.2402,3.77,2.2
20020124,21013650,32.5343,244.2512,5.3,2.8
20020124,21034788,32.5313,244.2492,4.62,2.2
20020125,05254513,32.6513,244.1023,7.42,2.3
20020125,17483306,33.505,243.548,4.6,2.4
20020126,09083877,33.353,243.607,15.2,2.4
20020202,01070239,33.5803,242.7852,12.41,2.5
20020202,12351725,34.3622,243.3217,4.25,2.6
20020202,19005324,34.4247,243.526,4.65,2.7
20020204,04391016,33.0467,243.5598,16.11,3.6
20020205,06162830,33.7043,243.235,16.88,2.6
20020205,23132802,32.9863,243.9295,0.0,2.3
20020206,02243005,33.051,243.5625,16.99,2.2
20020206,20575132,33.0495,243.56,16.94,2.3
20020207,05293165,34.1018,243.2913,7.51,3.4
20020208,06001409,33.4615,244.2078,10.96,2.5
20020208,14374144,33.4618,244.2005,10.38,2.4
20020209,11493778,32.6263,244.1015,7.49,2.3
20020211,10205578,32.5118,244.259,3.01,2.6
20020221,18272570,32.565,244.2252,5.6,3.2
20020222,01511322,32.6867,244.3958,17.7,2.5
20020224,16244237,33.3105,244.3498,9.6,2.2
20020224,16244934,33.3225,244.3642,11.12,2.4
20020224,16422540,33.2972,244.3237,6.52,2.7
20020225,01280940,33.1407,244.3747,7.39,3.3
20020225,01372110,33.1272,244.3808,6.87,2.2
20020225,03141571,33.139,244.3867,6.66,2.3
20020225,18192856,33.1935,244.4028,0.56,2.3
20020225,18203256,33.1952,244.397,2.64,2.4
20020225,18205850,33.189,244.4077,1.61,2.4
20020225,18591258,33.1928,244.3832,2.02,2.4
20020225,20174644,33.8768,242.1382,6.56,2.3
20020226,22410522,33.3005,243.7012,13.21,2.2
20020227,14273919,34.454,243.1018,10.49,2.3
20020302,04181535,32.7142,243.9422,6.38,2.6
20020302,19552660,33.649,243.2168,16.65,2.2
20020303,08014437,33.0723,244.4035,15.47,2.4
20020303,23261556,33.6947,243.185,5.29,2.3
20020305,12415717,33.1578,244.4058,6.04,2.3
20020308,04543101,33.8823,243.6938,4.75,2.8
20020308,16014122,33.4338,243.534,13.78,2.5
20020315,19480088,34.2727,243.2938,8.46,2.2
20020316,19474000,33.8683,242.135,4.71,2.2
20020317,05504314,33.8728,242.1442,9.52,3.2
20020317,06464602,32.6848,244.3877,21.21,2.4
20020319,02531546,33.8685,242.1463,4.55,2.2
20020321,03420993,34.0007,242.8382,13.81,2.9
20020322,06551146,33.9667,242.2652,13.01,2.5
20020323,12273270,34.2668,243.2257,2.96,3.4
20020326,11283370,32.8123,244.3945,16.47,3.0
20020328,06560803,33.3502,244.248,5.09,3.0
20020330,13505171,33.1947,243.272,9.35,3.8
20020330,21110908,33.1953,243.2742,10.13,2.5
20020331,08291540,34.0625,243.278,10.68,2.5
20020403,10394668,33.8752,243.1528,18.02,2.8
20020406,04260361,34.0005,243.2953,17.85,2.2
20020408,03103721,33.9588,243.0343,12.68,2.5
20020408,14184822,34.1598,243.5668,6.91,2.3
20020416,03492081,32.8998,244.4787,18.32,2.7
20020417,10165416,33.2993,243.7622,11.3,2.3
20020424,20455292,34.2742,243.3023,5.65,2.3
20020426,02490120,33.6972,243.1718,15.84,2.6
20020426,15491444,33.0493,244.1562,10.98,2.6
20020428,16252957,34.3567,243.2623,2.32,2.5
20020430,04054342,34.3508,243.5362,4.67,2.3
20020506,02372713,34.3037,243.1487,13.68,2.2
20020506,07474507,33.1622,244.3497,0.21,2.6
20020510,02325967,34.1537,242.5628,10.96,2.4
20020516,01265681,34.211,243.1615,8.83,2.4
20020518,02190019,33.9975,243.1572,19.88,2.2
20020520,10523394,33.9675,243.3783,17.2,2.2
20020521,19430832,33.1583,244.0228,12.87,3.9
20020522,16582322,33.1502,244.016,10.78,2.7
20020527,20403846,34.3227,243.551,1.2,2.5
20020528,09493349,33.9453,243.1597,10.87,2.3
20020530,15502618,34.0288,243.2468,16.45,2.3
20020606,03260133,32.6745,243.9803,9.4,2.5
20020607,20251344,33.5915,243.3527,13.47,2.4
20020609,07553977,33.928,243.1565,7.65,2.6
20020609,08463078,34.1327,242.5313,13.13,2.3
20020609,22355212,34.4218,242.3538,8.86,2.6
20020610,07144547,33.9742,242.762,13.48,2.8
20020612,11294913,34.3803,243.5405,8.99,2.4
20020616,21102804,34.0215,242.7715,17.01,2.5
20020617,09150047,33.9207,242.1997,17.52,2.4
20020617,11012363,34.1553,243.1688,8.51,2.5
20020617,18364830,33.4793,243.4563,12.12,2.5
20020627,10482730,33.8362,242.2815,4.36,2.2
20020628,07145534,33.6175,243.305,14.7,2.2
20020628,10084364,32.6383,243.8762,5.17,2.3
20020701,00144554,34.0675,242.1653,11.82,2.2
20020701,22035966,34.1033,243.349,10.02,3.3
20020703,18554048,34.0998,243.3508,9.13,2.9
20020710,04221766,32.9433,244.4648,6.0,3.0
20020712,21343616,34.3225,243.1637,4.17,2.4
20020712,22005708,34.32,243.1635,3.99,2.5
20020716,04411392,33.3698,243.6125,4.31,2.7
20020717,11004920,33.8138,243.1175,16.58,2.2
20020722,04332788,34.3232,243.1617,4.16,2.9
20020723,09382101,33.3085,243.719,8.65,2.4
20020724,17030624,33.013,243.9105,0.01,2.3
20020725,00431514,34.1613,242.5712,6.54,3.7
20020726,05134109,33.1798,243.9493,4.63,2.4
